Name,Website,Public Contact Phone,Public Contact Email,Latitude,Longitude,Description,On Map,Type,Public Category,DCC-operated Facility,NACE Code,Neighbourhood,DCC Area Pre 2019,DCC Area Post 2019,Wikipedia Links
Thomas Moore Statue,https://goo.gl/maps/usLqx69XSVjjCj2v6,01 222 5455,artsoffice@dublincity.ie,53.34516502,-6.258924007,"Thomas Moore. Bronze sculpture on granite plinth by Christopher Moore, 1857.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Thomas_Moore
William Smith O'Brien Statue,https://goo.gl/maps/LFDHCsUgur55BakZA,01 222 5455,artsoffice@dublincity.ie,53.34823292,-6.25959456,"William Smith O'Brien. Sicilian white marble sculpture on granite plinth by Thomas Farrell, 1870.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/William_Smith_O%27Brien
Sir John Gray Statue,https://goo.gl/maps/o9PkSugtANuaFCCt9,01 222 5455,artsoffice@dublincity.ie,53.34852113,-6.259707212,"Sir John Gray. Sicilian white marble sculpture on granite plinth by Thomas Farrell, 1879.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/John_Gray_(Irish_politician)
Henry Grattan Statue,https://goo.gl/maps/hkoveLcL25ewGdr76,01 222 5455,artsoffice@dublincity.ie,53.34441883,-6.259862781,"Henry Grattan. Bronze sculpture on limestone plinth by John Henry Foley, 1880.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Henry_Grattan
The O'Connell Monument Statue,https://goo.gl/maps/CvDGbHzX7VKGLdDk9,01 222 5455,artsoffice@dublincity.ie,53.34769814,-6.259358525,"The O'Connell Monument. Bronze and limestone sculpture by John Henry Foley, 1882.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/Daniel_O%27Connell
Fr Theobald Matthew Statue,https://goo.gl/maps/spz2cWcNuoYsVgvp6,01 222 5455,artsoffice@dublincity.ie,53.35060575,-6.26060307,"Fr Theobald Matthew. Limestone sculpture by Mary Redmond, 1891.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/Father_Mathew
Patrick Sheahan Memorial,https://goo.gl/maps/y5ngXxF2SAamD7nH8,01 222 5455,artsoffice@dublincity.ie,53.34717936,-6.257352233,"Patrick Sheahan Memorial. Limestone sculpture on granite plinth by W. P. O'Neill, 1906.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,NA
Parnell Monument,https://goo.gl/maps/EhjKfnKZxjUiGPqr5,01 222 5455,artsoffice@dublincity.ie,53.35254939,-6.261520386,"Parnell Monument. Bronze and granite sculpture by Augustus Saint-Gaudens, 1911.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/Charles_Stewart_Parnell
W B Yeats Statue,https://goo.gl/maps/aAt2UqaHyoB7eLoK6,01 222 5455,artsoffice@dublincity.ie,53.3318757,-6.214769483,"W. B. Yeats. Bronze sculpture by Albert G. Power, 1921.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,Sandymount,South East,South East,https://en.wikipedia.org/wiki/W._B._Yeats
Sean Russell Statue,https://goo.gl/maps/NZrXNuqJjEffdc3a9,01 222 5455,artsoffice@dublincity.ie,53.361642,-6.237267852,"Sean Russell. Bronze sculpture on limestone plinth by Willie Malone, 1951/2009.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,Fairview,North Central,North Central,https://en.wikipedia.org/wiki/Se%C3%A1n_Russell
Henry Grattan Statue,https://goo.gl/maps/LtW5CcJBnNqpPwFb9,01 222 5455,artsoffice@dublincity.ie,53.34020723,-6.248699427,"Henry Grattan. Limestone sculpture on granite plinth, 1982.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Henry_Grattan
George Russell (Æ) Statue,https://goo.gl/maps/DzQUxPGxDDYYQN7D8,01 222 5455,artsoffice@dublincity.ie,53.33997342,-6.248050332,"George Russel (Æ). Bronze sculpture on granite plinth, 1985.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,NA
John Field Memorial,https://goo.gl/maps/KHmBxAv3JXQAsJ4T7,01 222 5455,artsoffice@dublincity.ie,53.34046026,-6.269776225,"John Field Memorial. Bronze and granite sculpture by Leo Higgins and Colm Brennan, 1988.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/John_Field_(composer)
Matt Talbot Memorial,https://goo.gl/maps/V6kHTRapnznAL6dA8,01 222 5455,artsoffice@dublincity.ie,53.34739071,-6.251440644,"Matt Talbot Memorial. Bronze sculpture by James Power, 1988.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Matt_Talbot
James Joyce Statue,https://goo.gl/maps/e3FuAKm6pNry4Tqn6,01 222 5455,artsoffice@dublincity.ie,53.34988527,-6.259852052,"James Joyce. Bronze sculpture by Marjorie Fitzgibbon, 1990.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre North,Central,Central,https://en.wikipedia.org/wiki/James_Joyce
Michael Collins Bust,https://goo.gl/maps/UYAASH7VA8zNUAqM7,01 222 5455,artsoffice@dublincity.ie,53.33967555,-6.24728322,"Michael Collins Bust. Bronze sculpture with granite plinth by Dick Joynt, 1990.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Michael_Collins_(Irish_leader)
Patrick Kavanagh Statue,https://goo.gl/maps/9RDadB7kDpeWpgdRA,01 222 5455,artsoffice@dublincity.ie,53.33360236,-6.247900128,"Patrick Kavanagh. Bronze sculpture by John Coll, 1991.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Patrick_Kavanagh
Bernardo O'Higgins Statue,https://goo.gl/maps/LUptCbSKXoN9S52EA,01 222 5455,artsoffice@dublincity.ie,53.34043143,-6.249327064,"Bernardo O'Higgins. Bronze sculpture on granite plinth by Francisco Orellana, 1995.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Bernardo_O%27Higgins
Oscar Wilde Statue,https://goo.gl/maps/XVF9oMgR1cGZF5rs5,01 222 5455,artsoffice@dublincity.ie,53.34080937,-6.250539422,"Oscar Wilde. Bronze, glass, granite, jade, porcelain, quartz, and thulite sculpture by Danny Osborne, 1997.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Oscar_Wilde
Countess Markievicz Statue,https://goo.gl/maps/WdNrcJn6oqCBscYLA,01 222 5455,artsoffice@dublincity.ie,53.34596564,-6.25433743,"Countess Markievicz. Bronze sculpture on granite plinth by Elizabeth McLaughlin, 1998.",Specific location,facility or amenity,Permanent public art sites,Y,90.03,City Centre South,South East,South East,https://en.wikipedia.org/wiki/Constance_Markievicz
